"GA_Id","Name","YE_Id","Filename","FileToRun","FilenameIndex","ScrnshotFilename","MU_Id","GE_Id","PU_Id","DI_Id","CR_Id","SidFilename","DateLastPlayed","TimesPlayed","CCode","HighScore","FA","SA","Fav","PR_Id","LA_Id","Extras","Classic","Rating","V_PalNTSC","V_Length","V_Trainers","PlayersFrom","PlayersTo","PlayersSim","Adult","MemoText","Prequel","Sequel","Related","Control","CRC","Filesize","Version","Gemus","V_LengthType","Comment","V_Comment","V_LoadingScreen","V_HighScoreSaver","V_IncludedDocs","V_TrueDriveEmu","AR_Id","DE_Id","LI_Id","RA_Id","WebLink_Name","WebLink_URL","V_WebLink_Name","V_WebLink_URL","V_TitleScreen","V_Playable","V_Original","CloneOf","ReviewRating"
"20297","Rebound","28","r1\REBOUND4_20297_02.zip","","0","R\Rebound_v4.png","5142","44","232","8","391","","","0","4","","0","0","0","9039","2","1","0","0","1","129","2","1","1","0","0","","0","0","0","0","","0","2","vtde=yes","0","64'er Software Extra Nr.10: Spiele - Volume 3","","0","1","0","0","2011","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20297","","","2","2","2","0","-1"
"20298","Wassermann","29","w\WASSERMA_20298_01.zip","","0","W\Wassermann.png","5365","11","232","8","59","","","0","4","","0","0","0","7664","3","1","0","0","3","37","0","1","1","0","0","","0","0","0","0","","0","1","","0","64'er Software Extra Nr.20: Spiele","","0","0","0","0","2924","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20298","","","2","2","2","0","-1"
"20299","Assault Machine","2","a2\ASSAULT2_20299_02.zip","","0","A\Assault_Machine_v2.png","38","10","37","8","1499","","","0","4","","0","0","0","1","4","0","0","0","3","263","0","1","1","0","0","","0","0","441","0","","0","2","vtde=yes ","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20299","","","2","2","2","0","-1"
"20300","Pergament, Das","2","p1\PERGAMEN_20300_01.zip","","0","P\Das_Pergament.png","39","96","37","8","7","","","0","4","","0","0","0","7665","3","0","0","0","3","264","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","1","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20300","","","2","2","2","0","-1"
"20301","Finde den Schatz der Titanic","35","f1\FINDETIT_20301_01.zip","","0","F\Finde_den_Schatz_der_Titanic.png","39","93","1889","8","7","","","0","4","","0","0","0","7666","3","0","0","0","1","53","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20301","","","2","2","2","0","-1"
"20302","Wand, The","28","w\WAND_20302_01.zip","","0","W\The_Wand.png","39","88","1638","8","7","","","0","4","","0","0","0","4748","2","0","0","0","3","103","0","1","1","0","0","","0","0","0","2","","0","1","","0","","not 100% - crashes after several turns and the location with the wizard seems to be corrupt","0","0","0","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20302","","","2","2","2","0","-1"
"20303","Dark Side, The - The Return of the Christal Ball","29","d1\DARKSID3_20303_01.zip","","0","D\The_Dark_Side_-_The_Return_of_the_Christal_Ball.png","39","88","1638","8","7","","","0","4","","0","0","0","4748","2","0","0","0","1","168","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","0","0","0","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20303","","","2","2","2","0","-1"
"20304","Fluch von Dashpool, Der","4","f2\FLUCHVDP_20304_01.zip","","0","F\Der_Fluch_von_Dashpool.png","39","88","1638","8","7","","","0","4","","0","0","0","4748","3","0","0","0","1","80","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","0","0","1","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20304","","","2","2","2","0","-1"
"20305","Herr der Ringe, Der","4","h\HERRDERR_20305_01.zip","","0","H\Der_Herr_der_Ringe.png","39","88","1638","8","7","","","0","4","","0","0","0","4748","3","0","0","0","1","82","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","0","0","1","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20305","","","2","2","2","0","-1"
"20306","Rhesus-Negativ","28","r2\RHESUSNE_20306_01.zip","","0","R\Rhesus-Negativ.png","39","155","3072","8","7","","","0","4","","0","0","0","7475","3","0","0","0","1","216","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20306","","","2","2","2","0","-1"
"20307","Megazoyd","34","m2\MEGAZOYD_20307_01.zip","","0","M\Megazoyd.png","39","63","3324","8","7","","","0","4","","0","0","0","7668","2","0","0","0","1","4","0","1","1","0","0","","0","0","0","0","","0","1","","0","Brotkasten Live 3/1994","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20307","","","2","2","2","0","-1"
"20308","Quadronia!","34","q\QUADRONI_20308_01.zip","","0","Q\Quadronia!.png","39","42","3324","8","7","","","0","4","","0","0","0","7668","2","0","0","0","1","9","0","1","1","0","0","","0","0","0","0","","0","1","","0","Brotkasten Live 3/1994","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20308","","","2","2","2","0","-1"
"20309","Push","2","p2\PUSH3_20309_01.zip","","0","P\Push_v3.png","39","57","37","8","7","","","0","4","","0","0","0","1","29","0","0","0","1","3","0","1","1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20309","","","2","2","2","0","-1"
"20311","Garden of Balance, The","28","g1\GARDENOB_20311_01.zip","","0","G\The_Garden_of_Balance.png","39","88","37","8","7","","","0","4","","0","0","0","4028","2","0","0","0","1","269","0","1","1","0","0","","0","0","0","2","","0","1","","0","","","1","0","1","1","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20311","","","2","2","2","0","-1"
"20313","Death Wake Part II","27","d1\DEATHWA2_20313_01.zip","","0","D\Death_Wake_Part_II.png","39","18","39","8","1634","","","0","4","","0","0","0","5904","2","0","0","0","3","269","0","1","1","0","0","","0","0","0","0","","0","1","","0","is there any difference to the original?","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20313","","","2","2","2","2051","-1"
