"name","image_url","game_page_url","release_date","console","developer","publisher","l1","l2","l1_url","l2_url"
"'89 Dennou Kyuusei Uranai","","https://www.zophar.net/music/nintendo-nes-nsf/89-dennou-kyuusei-uranai","Dec 10th,1988","NES","Micronics","Jingukan","Download all files as MP3 (21 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/89-dennou-kyuusei-uranai/zamuvngz/%2789%20Dennou%20Kyuusei%20Uranai%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/89-dennou-kyuusei-uranai/%2789%20Dennou%20Kyuusei%20Uranai%20%28EMU%29.zophar.zip"
"10-Yard Fight","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_10yardfight.jpg","https://www.zophar.net/music/nintendo-nes-nsf/10-yard-fight","Aug 30th,1985","NES","Irem","Irem","Download all files as MP3 (314 KB)","Download original music files (1 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10-yard-fight/hcxvyaux/10-Yard%20Fight%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10-yard-fight/10-Yard%20Fight%20%28EMU%29.zophar.zip"
"100-in-1-Contra Function 16","","https://www.zophar.net/music/nintendo-nes-nsf/100-in-1-contra-function-16","","NES","","","Download all files as MP3 (9 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/100-in-1-contra-function-16/mnkccojh/100-in-1-Contra%20Function%2016%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/100-in-1-contra-function-16/100-in-1-Contra%20Function%2016%20%28EMU%29.zophar.zip"
"10000000-in-1","","https://www.zophar.net/music/nintendo-nes-nsf/10000000-in-1","","NES","","","Download all files as MP3 (2 MB)","Download original music files (1 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10000000-in-1/qgjamkiv/10000000-in-1%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10000000-in-1/10000000-in-1%20%28EMU%29.zophar.zip"
"16 Mahjong","","https://www.zophar.net/music/nintendo-nes-nsf/16-mahjong","","NES","Sachen, Thin Chen","Sachen, Thin Chen","Download all files as MP3 (1 MB)","Download original music files ( B)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/16-mahjong/ymzkzzlj/16%20Mahjong%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/16-mahjong/16%20Mahjong%20%28EMU%29.zophar.zip"
"19 Neunzehn","","https://www.zophar.net/music/nintendo-nes-nsf/19-neunzehn","Mar 4th,1988","NES","Soft Pro","Soft Pro","Download all files as MP3 (17 MB)","Download original music files (5 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/19-neunzehn/gnawnhdm/19%20Neunzehn%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/19-neunzehn/19%20Neunzehn%20%28EMU%29.zophar.zip"
"1942","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_1942.jpg","https://www.zophar.net/music/nintendo-nes-nsf/1942","Dec 11th,1985","NES","Micronics","Capcom","Download all files as MP3 (4 MB)","Download original music files (15 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1942/wtlcfpbu/1942%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1942/1942%20%28EMU%29.zophar.zip"
"1943 - The Battle of Midway","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_1943.jpg","https://www.zophar.net/music/nintendo-nes-nsf/1943-the-battle-of-midway","Oct1988","NES","Capcom","Capcom","Download all files as MP3 (27 MB)","Download original music files (10 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1943-the-battle-of-midway/fqtowgqm/1943%20-%20The%20Battle%20of%20Midway%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1943-the-battle-of-midway/1943%20-%20The%20Battle%20of%20Midway%20%28EMU%29.zophar.zip"
"1991 Du Ma Racing","","https://www.zophar.net/music/nintendo-nes-nsf/1991-du-ma-racing","","NES","Super Mega Idea Tek","Super Mega Idea Tek","Download all files as MP3 (17 MB)","Download original music files (16 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1991-du-ma-racing/ybpveuvt/1991%20Du%20Ma%20Racing%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1991-du-ma-racing/1991%20Du%20Ma%20Racing%20%28EMU%29.zophar.zip"
"1999 Hore, Mitakotoka! Seikimatsu","","https://www.zophar.net/music/nintendo-nes-nsf/1999-hore-mitakotoka-seikimatsu","Sep 18th,1992","NES","Coconuts Japan","Coconuts Japan","Download all files as MP3 (60 MB)","Download original music files (17 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1999-hore-mitakotoka-seikimatsu/qqhjrxjz/1999%20Hore%2C%20Mitakotoka%21%20Seikimatsu%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1999-hore-mitakotoka-seikimatsu/1999%20Hore%2C%20Mitakotoka%21%20Seikimatsu%20%28EMU%29.zophar.zip"
"2in1 Cosmo Cop","","https://www.zophar.net/music/nintendo-nes-nsf/2in1-cosmo-cop","","NES","Sachen","Sachen","Download all files as MP3 (12 MB)","Download original music files (8 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/2in1-cosmo-cop/sghkzftv/2in1%20Cosmo%20Cop%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/2in1-cosmo-cop/2in1%20Cosmo%20Cop%20%28EMU%29.zophar.zip"
"3-D Battles of WorldRunner","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_3dworldrunner.jpg","https://www.zophar.net/music/nintendo-nes-nsf/3-d-battles-of-worldrunner","Sep1987","NES","Square","Acclaim","Download all files as MP3 (12 MB)","Download original music files (5 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/3-d-battles-of-worldrunner/ruhgfhdh/3-D%20Battles%20of%20WorldRunner%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/3-d-battles-of-worldrunner/3-D%20Battles%20of%20WorldRunner%20%28EMU%29.zophar.zip"
"3-in-1 - Lion King 5","","https://www.zophar.net/music/nintendo-nes-nsf/3-in-1-lion-king-5","","NES","Dragon","Dragon","Download all files as MP3 (17 MB)","Download original music files (3 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/3-in-1-lion-king-5/wuytxfxf/3-in-1%20-%20Lion%20King%205%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/3-in-1-lion-king-5/3-in-1%20-%20Lion%20King%205%20%28EMU%29.zophar.zip"
"4 Nin Uchi Mahjong","","https://www.zophar.net/music/nintendo-nes-nsf/4-nin-uchi-mahjong","Nov 2nd,1984","NES","Hudson","Nintendo","Download all files as MP3 (178 KB)","Download original music files ( B)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/4-nin-uchi-mahjong/ubuqgsot/4%20Nin%20Uchi%20Mahjong%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/4-nin-uchi-mahjong/4%20Nin%20Uchi%20Mahjong%20%28EMU%29.zophar.zip"
"720","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_720.jpg","https://www.zophar.net/music/nintendo-nes-nsf/720","Nov1989","NES","Tengen","Mindscape","Download all files as MP3 (17 MB)","Download original music files (3 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/720/bagbgovx/720%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/720/720%20%28EMU%29.zophar.zip"
"75 Bingo","","https://www.zophar.net/music/nintendo-nes-nsf/75-bingo","","NES","Sachen","Sachen","Download all files as MP3 (7 MB)","Download original music files (1 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/75-bingo/baomfsxr/75%20Bingo%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/75-bingo/75%20Bingo%20%28EMU%29.zophar.zip"
"8 Eyes","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_8eyes.jpg","https://www.zophar.net/music/nintendo-nes-nsf/8-eyes","Sep 27th,1988","NES","Thinking Rabbit","Seta","Download all files as MP3 (50 MB)","Download original music files (9 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/8-eyes/zqnfdwak/8%20Eyes%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/8-eyes/8%20Eyes%20%28EMU%29.zophar.zip"
"A Ressha de Ikou","","https://www.zophar.net/music/nintendo-nes-nsf/a-ressha-de-ikou","Aug 21st,1991","NES","Artdink","Pony Canyon","Download all files as MP3 (10 MB)","Download original music files (3 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/a-ressha-de-ikou/lintxqyy/A%20Ressha%20de%20Ikou%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/a-ressha-de-ikou/A%20Ressha%20de%20Ikou%20%28EMU%29.zophar.zip"
"Aa Yakyuu Jinsei Icchokusen","","https://www.zophar.net/music/nintendo-nes-nsf/aa-yakyuu-jinsei-icchokusen","Dec 25th,1992","NES","Sammy","Sammy","Download all files as MP3 (30 MB)","Download original music files (10 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/aa-yakyuu-jinsei-icchokusen/gajkhwye/Aa%20Yakyuu%20Jinsei%20Icchokusen%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/aa-yakyuu-jinsei-icchokusen/Aa%20Yakyuu%20Jinsei%20Icchokusen%20%28EMU%29.zophar.zip"
"Abadox - The Deadly Inner War","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_abadox.jpg","https://www.zophar.net/music/nintendo-nes-nsf/abadox-the-deadly-inner-war","Dec 15th,1989","NES","Natsume, ITL","Natsume","Download all files as MP3 (21 MB)","Download original music files (11 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/abadox-the-deadly-inner-war/taauhxch/Abadox%20-%20The%20Deadly%20Inner%20War%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/abadox-the-deadly-inner-war/Abadox%20-%20The%20Deadly%20Inner%20War%20%28EMU%29.zophar.zip"
"Action 52","","https://www.zophar.net/music/nintendo-nes-nsf/action-52","","NES","Active Enterprises","Active Enterprises","Download all files as MP3 (148 MB)","Download original music files (40 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/action-52/wydfclom/Action%2052%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/action-52/Action%2052%20%28EMU%29.zophar.zip"
"Action 52 - Title Screen","","https://www.zophar.net/music/nintendo-nes-nsf/action-52-title-screen","","NES","Active Enterprises","Active Enterprises","Download all files as MP3 (2 MB)","Download original music files (24 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/action-52-title-screen/igbylyun/Action%2052%20-%20Title%20Screen%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/action-52-title-screen/Action%2052%20-%20Title%20Screen%20%28EMU%29.zophar.zip"
"AD&D Dragons of Flame","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_advanceddungeonsanddragonsdragonsofflame.jpg","https://www.zophar.net/music/nintendo-nes-nsf/add-dragons-of-flame","Feb 21st,1992","NES","Atelier Double","Pony Canyon","Download all files as MP3 (37 MB)","Download original music files (12 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-dragons-of-flame/zukczrri/AD%26D%20Dragons%20of%20Flame%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-dragons-of-flame/AD%26D%20Dragons%20of%20Flame%20%28EMU%29.zophar.zip"
"AD&D DragonStrike","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adddragonstrike.jpg","https://www.zophar.net/music/nintendo-nes-nsf/add-dragonstrike","Jul1992","NES","Westwood","FCI","Download all files as MP3 (21 MB)","Download original music files (14 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-dragonstrike/hpxiniof/AD%26D%20DragonStrike%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-dragonstrike/AD%26D%20DragonStrike%20%28EMU%29.zophar.zip"
"AD&D Heroes of the Lance","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_ADDHeroesoftheLance.jpg","https://www.zophar.net/music/nintendo-nes-nsf/add-heroes-of-the-lance","Jan1991","NES","SSI","FCI","Download all files as MP3 (16 MB)","Download original music files (18 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-heroes-of-the-lance/ujxggjmv/AD%26D%20Heroes%20of%20the%20Lance%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-heroes-of-the-lance/AD%26D%20Heroes%20of%20the%20Lance%20%28EMU%29.zophar.zip"
"AD&D Hillsfar","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_addhillsfar.jpg","https://www.zophar.net/music/nintendo-nes-nsf/add-hillsfar","Mar 21st,1991","NES","SSI","Pony Canyon","Download all files as MP3 (19 MB)","Download original music files (17 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-hillsfar/vmzimmmd/AD%26D%20Hillsfar%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-hillsfar/AD%26D%20Hillsfar%20%28EMU%29.zophar.zip"
"AD&D Pool of Radiance","","https://www.zophar.net/music/nintendo-nes-nsf/add-pool-of-radiance","Jun 28th,1991","NES","Marionette","Pony Canyon","Download all files as MP3 (63 MB)","Download original music files (6 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-pool-of-radiance/lywwqdqy/AD%26D%20Pool%20of%20Radiance%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/add-pool-of-radiance/AD%26D%20Pool%20of%20Radiance%20%28EMU%29.zophar.zip"
"Addams Family","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_addamsfamily.jpg","https://www.zophar.net/music/nintendo-nes-nsf/addams-family","Jan1992","NES","Enigma Variations","Ocean","Download all files as MP3 (6 MB)","Download original music files (3 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/addams-family/iootuswy/Addams%20Family%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/addams-family/Addams%20Family%20%28EMU%29.zophar.zip"
"Addams Family - Pugsley's Scavenger Hunt","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_addamsfamilypugsleysscavengerhunt.jpg","https://www.zophar.net/music/nintendo-nes-nsf/addams-family-pugsleys-scavenger-hunt","","NES","Ocean","Ocean","Download all files as MP3 (5 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/addams-family-pugsleys-scavenger-hunt/evaqgozw/Addams%20Family%20-%20Pugsley%27s%20Scavenger%20Hunt%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/addams-family-pugsleys-scavenger-hunt/Addams%20Family%20-%20Pugsley%27s%20Scavenger%20Hunt%20%28EMU%29.zophar.zip"
"Adventure Island","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventureisland_eu.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventure-island","Sep 12th,1986","NES","Hudson","Hudson","Download all files as MP3 (19 MB)","Download original music files (5 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island/jexbwkvr/Adventure%20Island%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island/Adventure%20Island%20%28EMU%29.zophar.zip"
"Adventure Island 3","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventureisland3.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventure-island-3","Jul 31st,1992","NES","Hudson","Hudson","Download all files as MP3 (55 MB)","Download original music files (11 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island-3/kxeoccon/Adventure%20Island%203%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island-3/Adventure%20Island%203%20%28EMU%29.zophar.zip"
"Adventure Island II","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventureisland2_eu.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventure-island-ii","Feb1991","NES","Now Production","Hudson","Download all files as MP3 (45 MB)","Download original music files (12 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island-ii/taboclyx/Adventure%20Island%20II%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island-ii/Adventure%20Island%20II%20%28EMU%29.zophar.zip"
"Adventure Island JP","","https://www.zophar.net/music/nintendo-nes-nsf/adventure-island-jp","Sep 12th,1986","NES","Hudson","Hudson","Download all files as MP3 (20 MB)","Download original music files (5 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island-jp/fabqyysa/Adventure%20Island%20JP%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventure-island-jp/Adventure%20Island%20JP%20%28EMU%29.zophar.zip"
"Adventures in the Magic Kingdom","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_disneyadventuresinthemagickingdom_au.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-in-the-magic-kingdom","Jul1990","NES","Capcom","Capcom","Download all files as MP3 (29 MB)","Download original music files (9 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-in-the-magic-kingdom/kbfpdajj/Adventures%20in%20the%20Magic%20Kingdom%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-in-the-magic-kingdom/Adventures%20in%20the%20Magic%20Kingdom%20%28EMU%29.zophar.zip"
"Adventures of Bayou Billy, The","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_AdventuresofBayouBilly.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-bayou-billy-the","Aug 12th,1988","NES","Konami","Konami","Download all files as MP3 (58 MB)","Download original music files (20 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-bayou-billy-the/cakwlwmg/Adventures%20of%20Bayou%20Billy%2C%20The%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-bayou-billy-the/Adventures%20of%20Bayou%20Billy%2C%20The%20%28EMU%29.zophar.zip"
"Adventures of Bayou Billy, The JP","","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-bayou-billy-the-jp","Aug 12th,1988","NES","Konami","Konami","Download all files as MP3 (25 MB)","Download original music files (14 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-bayou-billy-the-jp/uxfxfwuw/Adventures%20of%20Bayou%20Billy%2C%20The%20JP%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-bayou-billy-the-jp/Adventures%20of%20Bayou%20Billy%2C%20The%20JP%20%28EMU%29.zophar.zip"
"Adventures of Dino-Riki","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventuresofdinoriki.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-dino-riki","Feb 10th,1987","NES","Hudson","Hudson","Download all files as MP3 (12 MB)","Download original music files (15 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-dino-riki/cqhdvtop/Adventures%20of%20Dino-Riki%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-dino-riki/Adventures%20of%20Dino-Riki%20%28EMU%29.zophar.zip"
"Adventures of Dino-Riki JP","","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-dino-riki-jp","Feb 10th,1987","NES","Hudson","Hudson","Download all files as MP3 (13 MB)","Download original music files (4 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-dino-riki-jp/yhfqvxcd/Adventures%20of%20Dino-Riki%20JP%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-dino-riki-jp/Adventures%20of%20Dino-Riki%20JP%20%28EMU%29.zophar.zip"
"Adventures of Dr. Franken, The","","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-dr-franken-the","","NES","Motivetime","Motivetime","Download all files as MP3 (4 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-dr-franken-the/cmuljxeo/Adventures%20of%20Dr.%20Franken%2C%20The%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-dr-franken-the/Adventures%20of%20Dr.%20Franken%2C%20The%20%28EMU%29.zophar.zip"
"Adventures of Gilligan's Island, The","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_gilligansisland.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-gilligans-island-the","Jul1990","NES","Human","Bandai","Download all files as MP3 (24 MB)","Download original music files (17 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-gilligans-island-the/jmlcgmqn/Adventures%20of%20Gilligan%27s%20Island%2C%20The%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-gilligans-island-the/Adventures%20of%20Gilligan%27s%20Island%2C%20The%20%28EMU%29.zophar.zip"
"Adventures of Lex & Grim, The","","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-lex-grim-the","","NES","PD","PD","Download all files as MP3 (6 MB)","Download original music files (1 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lex-grim-the/igjckfkp/Adventures%20of%20Lex%20%26%20Grim%2C%20The%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lex-grim-the/Adventures%20of%20Lex%20%26%20Grim%2C%20The%20%28EMU%29.zophar.zip"
"Adventures of Lolo","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_theadventuresoflolo.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-lolo","Aug 9th,1988","NES","HAL Laboratory","HAL Laboratory","Download all files as MP3 (9 MB)","Download original music files (7 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lolo/jvwewuqv/Adventures%20of%20Lolo%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lolo/Adventures%20of%20Lolo%20%28EMU%29.zophar.zip"
"Adventures of Lolo 2","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventuresoflolo2.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-lolo-2","Jan 6th,1990","NES","HAL Laboratory","HAL Laboratory","Download all files as MP3 (12 MB)","Download original music files (8 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lolo-2/pbswpckn/Adventures%20of%20Lolo%202%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lolo-2/Adventures%20of%20Lolo%202%20%28EMU%29.zophar.zip"
"Adventures of Lolo 3","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventuresoflolo3_de.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-lolo-3","Dec 26th,1990","NES","HAL Laboratory","HAL Laboratory","Download all files as MP3 (52 MB)","Download original music files (10 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lolo-3/lglrforr/Adventures%20of%20Lolo%203%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-lolo-3/Adventures%20of%20Lolo%203%20%28EMU%29.zophar.zip"
"Adventures of Rad Gravity, The","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventuresofradgravity.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-rad-gravity-the","Dec1990","NES","Interplay","Activision","Download all files as MP3 (59 MB)","Download original music files (5 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-rad-gravity-the/yvsxsrdg/Adventures%20of%20Rad%20Gravity%2C%20The%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-rad-gravity-the/Adventures%20of%20Rad%20Gravity%2C%20The%20%28EMU%29.zophar.zip"
"Adventures of Rocky and Bullwinkle and Friends, The","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventuresofrockyandbullwinkleandfriends.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-rocky-and-bullwinkle-and-friends-the","Dec1992","NES","Radical","THQ","Download all files as MP3 (11 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-rocky-and-bullwinkle-and-friends-the/undcwfee/Adventures%20of%20Rocky%20and%20Bullwinkle%20and%20Friends%2C%20The%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-rocky-and-bullwinkle-and-friends-the/Adventures%20of%20Rocky%20and%20Bullwinkle%20and%20Friends%2C%20The%20%28EMU%29.zophar.zip"
"Adventures of Tom Sawyer","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_adventuresoftomsawyer.jpg","https://www.zophar.net/music/nintendo-nes-nsf/adventures-of-tom-sawyer","Feb 6th,1989","NES","Winkysoft","Seta","Download all files as MP3 (12 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-tom-sawyer/mjigcpci/Adventures%20of%20Tom%20Sawyer%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/adventures-of-tom-sawyer/Adventures%20of%20Tom%20Sawyer%20%28EMU%29.zophar.zip"
"After Burner","","https://www.zophar.net/music/nintendo-nes-nsf/after-burner","Mar 30th,1989","NES","Sunsoft","Sunsoft","Download all files as MP3 (18 MB)","Download original music files (11 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/after-burner/xyxzcnom/After%20Burner%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/after-burner/After%20Burner%20%28EMU%29.zophar.zip"
"AGCI Test Cart","","https://www.zophar.net/music/nintendo-nes-nsf/agci-test-cart","","NES","American Game Cartridges","American Game Cartridges","Download all files as MP3 (2 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/agci-test-cart/cvxicruq/AGCI%20Test%20Cart%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/agci-test-cart/AGCI%20Test%20Cart%20%28EMU%29.zophar.zip"
