"name","image_url","game_page_url","release_date","console","developer","publisher","l1","l2","l1_url","l2_url"
"Metroid Prime - Hunters","https://fi.zophar.net/soundcovers/nintendo-ds-2sf/thumbs_large/ds_metroidprimehunters.jpg","https://www.zophar.net/music/nintendo-ds-2sf/metroid-prime-hunters","Mar 20th,2006","Nintendo DS","NST","Nintendo","Download all files as MP3 (345 MB)","Download original music files (5 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/metroid-prime-hunters/ubmjrhev/Metroid%20Prime%20-%20Hunters%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/metroid-prime-hunters/Metroid%20Prime%20-%20Hunters%20%28EMU%29.zophar.zip"
"Metroid Prime Pinball","https://fi.zophar.net/soundcovers/nintendo-ds-2sf/thumbs_large/ds_metroidprimepinball.jpg","https://www.zophar.net/music/nintendo-ds-2sf/metroid-prime-pinball","Oct 24th,2005","Nintendo DS","Fuse","Nintendo","Download all files as MP3 (92 MB)","Download original music files (7 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/metroid-prime-pinball/duwcghgr/Metroid%20Prime%20Pinball%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/metroid-prime-pinball/Metroid%20Prime%20Pinball%20%28EMU%29.zophar.zip"
"Mezase! 100 Giri Golf DS","","https://www.zophar.net/music/nintendo-ds-2sf/mezase-100-giri-golf-ds","Oct 23rd,2008","Nintendo DS","","GungHo Works","Download all files as MP3 (11 MB)","Download original music files (684 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mezase-100-giri-golf-ds/xusaqjmx/Mezase%21%20100%20Giri%20Golf%20DS%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mezase-100-giri-golf-ds/Mezase%21%20100%20Giri%20Golf%20DS%20%28EMU%29.zophar.zip"
"Mezase! Koushien","","https://www.zophar.net/music/nintendo-ds-2sf/mezase-koushien","Jul 24th,2008","Nintendo DS","","Tasuke","Download all files as MP3 (46 MB)","Download original music files (782 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mezase-koushien/obkirjxe/Mezase%21%20Koushien%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mezase-koushien/Mezase%21%20Koushien%20%28EMU%29.zophar.zip"
"Mezase! Shoujo Mangaka! Ciao Manga School","","https://www.zophar.net/music/nintendo-ds-2sf/mezase-shoujo-mangaka-ciao-manga-school","Nov 9th,2006","Nintendo DS","","TDK Core","Download all files as MP3 (64 MB)","Download original music files (2 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mezase-shoujo-mangaka-ciao-manga-school/noqihipf/Mezase%21%20Shoujo%20Mangaka%21%20Ciao%20Manga%20School%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mezase-shoujo-mangaka-ciao-manga-school/Mezase%21%20Shoujo%20Mangaka%21%20Ciao%20Manga%20School%20%28EMU%29.zophar.zip"
"Miami Nights - Singles in the City","","https://www.zophar.net/music/nintendo-ds-2sf/miami-nights-singles-in-the-city","Jan 15th,2008","Nintendo DS","Gameloft","Ubisoft","Download all files as MP3 (188 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/miami-nights-singles-in-the-city/efdqvyvb/Miami%20Nights%20-%20Singles%20in%20the%20City%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/miami-nights-singles-in-the-city/Miami%20Nights%20-%20Singles%20in%20the%20City%20%28EMU%29.zophar.zip"
"Micro Machines V4","","https://www.zophar.net/music/nintendo-ds-2sf/micro-machines-v4","Jan 5th,2007","Nintendo DS","Supersonic","Codemasters","Download all files as MP3 (11 MB)","Download original music files (6 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/micro-machines-v4/xqtjdroc/Micro%20Machines%20V4%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/micro-machines-v4/Micro%20Machines%20V4%20%28EMU%29.zophar.zip"
"Midnight Play! Pack","","https://www.zophar.net/music/nintendo-ds-2sf/midnight-play-pack","Jun 6th,2008","Nintendo DS","Gameloft","Ubisoft","Download all files as MP3 (132 MB)","Download original music files (6 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/midnight-play-pack/jdttzjae/Midnight%20Play%21%20Pack%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/midnight-play-pack/Midnight%20Play%21%20Pack%20%28EMU%29.zophar.zip"
"Mighty Flip Champs!","","https://www.zophar.net/music/nintendo-ds-2sf/mighty-flip-champs","Jun 1st,2009","Nintendo DS","WayForward","WayForward","Download all files as MP3 (72 MB)","Download original music files (953 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mighty-flip-champs/tqsyidwh/Mighty%20Flip%20Champs%21%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mighty-flip-champs/Mighty%20Flip%20Champs%21%20%28EMU%29.zophar.zip"
"Mighty Milky Way","","https://www.zophar.net/music/nintendo-ds-2sf/mighty-milky-way","May 9th,2011","Nintendo DS","WayForward","WayForward","Download all files as MP3 (61 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mighty-milky-way/fwnqidhe/Mighty%20Milky%20Way%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mighty-milky-way/Mighty%20Milky%20Way%20%28EMU%29.zophar.zip"
